acidity,citric_acid,sugar,total_sulfur_dioxide,alcohol,pH,free_sulfur_dioxide,quality
83.72172144063804,0.26248401207707595,21.137710460362918,8558.58784030257,Low,3.61,168.77,0
82.0051188480719,0.31694142805564984,21.281501779577603,9424.589149925732,High,3.41,155.19,0
84.7516829961777,0.3208312434826908,20.85012782193355,9291.358179214476,Low,3.31,157.03,0
83.89338169989465,0.3538946746125392,21.137710460362918,10223.974974193266,Low,3.36,143.17,0
84.4083624776645,0.28193308921228094,20.85012782193355,11423.053710594568,Low,3.08,123.83,0
86.81160610725706,0.30527198177452686,21.425293098792284,9391.281407247918,Low,3.18,155.32,0
88.69986895907981,0.34417013604493674,21.137710460362918,8458.664612269129,Medium,3.14,170.55,1
84.5800227369211,0.28193308921228094,26.889363228950284,8158.894928168803,Low,3.37,174.38,1
93.16303569975173,0.39084792116942857,26.601780590520917,9191.434951181034,,3.07,159.2,1
85.43832403320415,0.28193308921228094,22.431832333295077,9124.819465825407,Low,3.29,160.22,0
90.24481129238933,0.3655641208936622,21.425293098792284,8125.587185490989,Medium,3.02,175.34,1
91.61809336644222,0.39084792116942857,22.719414971724444,8558.58784030257,Low,3.15,168.44,1
84.92334325543433,0.30527198177452686,21.281501779577603,11289.822739883311,Low,3.3,125.72,0
84.06504195915126,0.3013821663474858,20.706336502718866,9790.974319381685,Low,3.1,149.11,0
89.21484973684964,0.39084792116942857,22.503727992902416,8758.434296369454,Medium,3.24,165.23,1
84.92334325543433,0.3149965203421293,21.137710460362918,9890.897547415127,Low,3.29,147.63,0
85.43832403320415,0.30916179720156783,23.150788929368495,11522.97693862801,Low,3.27,122.28,0
85.953304810974,0.3947377365964696,20.85012782193355,9657.74334867043,Low,3.02,152.07,0
82.52009962584175,0.266373827504117,29.621398294029284,11922.669850761777,Low,3.47,116.39,0
82.34843936658514,0.27415345835819893,21.137710460362918,9258.050436536663,Low,3.38,157.71,0
84.4083624776645,0.3072168894880473,21.281501779577603,10990.053055782986,unknown,3.32,131.13,0
89.55817025536288,0.3655641208936622,22.00045837565102,8325.433641557873,Medium,3.15,172.42,1
89.55817025536288,0.33833541290437524,21.137710460362918,8292.125898880058,Low,3.18,172.49,0
87.3265868850269,0.3558395823260597,24.87628475994471,8458.664612269129,High,3.34,170.38,1
84.06504195915126,0.29749235092044485,28.327276421097128,10923.437570427359,Low,3.38,131.69,0
82.0051188480719,0.29360253549340387,20.274962545074814,8558.58784030257,lowW,3.34,168.31,0
80.4601765147624,0.2799881814987604,20.706336502718866,8658.511068336013,Medium,3.67,166.69,0
81.8334585888153,0.3461150437584572,21.137710460362918,8591.895582980384,Medium,3.45,167.83,1
82.69175988509836,0.266373827504117,20.85012782193355,8192.202670846616,Low,3.55,173.75,0
82.34843936658514,0.3266659666232523,20.85012782193355,8725.12655369164,Low,3.36,166.41,0
94.70797803306127,0.3947377365964696,22.431832333295077,9224.742693858849,Low,3.06,158.15,0
92.99137544049513,0.3577844900395802,22.28804101408039,8425.356869591315,Medium,3.14,170.36,0
82.17677910732851,0.2897127200663629,21.425293098792284,8625.203325658198,Medium,3.44,168.01,0
83.2067406628682,0.2897127200663629,20.85012782193355,8558.58784030257,Low,3.53,168.68,0
92.13307414421207,0.3577844900395802,20.274962545074814,7992.356214779733,Low,3.13,176.88,0
88.18488818130997,0.37334375174774415,21.712875737221655,9524.512377959174,Medium,3.19,153.92,1
83.55006118138142,0.28776781235284243,21.137710460362918,8458.664612269129,Low,3.29,169.86,0
82.52009962584175,0.26248401207707595,24.444910802300654,10373.859816243428,Low,3.2,140.66,0
83.55006118138142,0.3247210589097318,21.137710460362918,8725.12655369164,Medium,3.23,165.87,1
85.26666377394756,0.37917847488830564,22.57562365250976,8525.280097624756,Medium,3.39,169.08,0
85.26666377394756,0.33833541290437524,21.85666705643634,9391.281407247918,High,3.32,155.57,1
86.46828558874384,0.3616743054666212,22.00045837565102,8691.818811013825,High,3.32,166.26,1
83.2067406628682,0.3325006897638138,20.56254518350418,9024.896237791965,Low,3.34,161.85,0
83.2067406628682,0.27026364293115795,21.137710460362918,10024.128518126383,Low,3.35,146.23,0
92.47639466272528,,21.137710460362918,8591.895582980384,Low,3.04,167.99,0
93.16303569975173,0.4064071828775926,22.00045837565102,8725.12655369164,Medium,3.2,165.88,1
88.35654844056658,0.3227761511962113,21.425293098792284,9857.589804737314,Low,3.18,148.16,0
80.4601765147624,0.3149965203421293,21.137710460362918,9624.435605992616,High,3.78,151.74,1
79.77353547773595,0.26442891979059646,20.56254518350418,9790.974319381685,High,3.7,149.82,0
79.94519573699256,0.29749235092044485,21.281501779577603,11156.591769172057,High,3.46,128.16,1
84.92334325543433,0.3480599514719777,20.993919141148236,8292.125898880058,Medium,3.3,172.74,0
83.03508040361159,0.26831873521763744,21.569084418006973,8325.433641557873,Medium,3.45,172.3,0
83.37840092212481,0.26248401207707595,20.85012782193355,8258.818156202246,Low,3.45,173.27,0
85.26666377394756,0.3577844900395802,21.569084418006973,12222.439534862102,Low,3.38,111.17,0
85.09500351469094,0.26248401207707595,20.85012782193355,8192.202670846616,Medium,3.54,173.93,0
